27/04/19 11:21:35 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:21:35 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:24:40 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:24:41 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:24:41 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:24:41 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:26:18 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:26:18 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:26:18 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:26:18 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:28:07 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 25 - Checking OS...
27/04/19 11:28:07 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:28:07 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - WINDOWS
27/04/19 11:28:07 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:29:00 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 25 - Checking OS...
27/04/19 11:29:00 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:29:00 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - WINDOWS
27/04/19 11:29:00 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:29:31 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:29:31 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:29:31 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:29:31 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:31:44 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:31:44 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:31:44 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:31:44 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:37:10 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:37:10 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:37:10 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
27/04/19 11:37:10 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:38:39 INFO  	 com.evilcorp.imagerecognition.api.ImageAPI: 26 - Checking OS...
27/04/19 11:38:39 DEBUG 	 com.evilcorp.imagerecognition.Constants: 28 - OS TYPE: windows 7
27/04/19 11:38:39 DEBUG 	 com.evilcorp.imagerecognition.api.ImageAPI: 27 - WINDOWS
